num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,trend_mean,trend_var,ci,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,2,fixmodel,0.8304,5.071503135895049e-4,0.007501717830170598,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,2,mixmodel,0.7654,-0.023405323611425347,0.007970701475333452,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,2,mixmodel_AR1,0.7424,-0.03008830633927357,0.008331968405941258,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,2,mixmodel_AR1_cal,0.7342,-0.033644303942700994,0.00854996732314417,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,2,mixmodel_cal,0.6669,-0.05388987783781588,0.009641601226967448,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,2,sepmodel,0.79990000000000006,4.236184404584615e-4,0.008031579562194998,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,3,fixmodel,0.8369,5.907624744931736e-4,0.007218345300019919,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,3,mixmodel,0.726,-0.03480017815982935,0.008713129974536995,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,3,mixmodel_AR1,0.7203,-0.036628426587588594,0.009145509444389329,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,3,mixmodel_AR1_cal,0.702,-0.041421555360490435,0.009841210579315949,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,3,mixmodel_cal,0.4711,-0.09884555421629045,0.016059184205069417,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,3,sepmodel,0.8001,5.855805362614504e-4,0.007853880881223246,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,4,fixmodel,0.8366,-3.933006679042716e-4,0.007221322581737603,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,4,mixmodel,0.6947,-0.04429102999437356,0.009761314584577598,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,4,mixmodel_AR1,0.7219,-0.037248175946262625,0.00937544694986881,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,4,mixmodel_AR1_cal,0.7064,-0.04122213715684684,0.010223548990582301,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,4,mixmodel_cal,0.3316,-0.1309007060443282,0.02327185425279958,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,FALSE,4,sepmodel,0.7977,-2.8378095990930826e-4,0.007942511649137611,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,2,fixmodel,0.8282,3.952030463476081e-4,0.007292160227378077,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,2,mixmodel,0.7663,-0.023469416693149982,0.007772523411677597,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,2,mixmodel_AR1,0.7479,-0.030122159349261303,0.008131562107384117,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,2,mixmodel_AR1_cal,0.7419,-0.031882648542259785,0.008232724687652185,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,2,mixmodel_cal,0.6824,-0.04940015980384912,0.009084064086196105,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,2,sepmodel,0.7989,7.694652552033266e-5,0.007850140207581893,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,3,fixmodel,0.8347,5.928970742144679e-4,0.007300233824671821,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,3,mixmodel,0.7291,-0.034899426219874095,0.00882417556327044,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,3,mixmodel_AR1,0.721,-0.03674154426294784,0.009254939852961108,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,3,mixmodel_AR1_cal,0.7148,-0.038184137029657936,0.009458811745948762,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,3,mixmodel_cal,0.5203,-0.08842912662933669,0.014408220189759935,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,3,sepmodel,0.7929,4.43926079216879e-4,0.008112574294077524,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,4,fixmodel,0.8376,7.095309507638558e-4,0.007257153011233177,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,4,mixmodel,0.6955,-0.043198552467607544,0.009708098617348188,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,4,mixmodel_AR1,0.721,-0.03608709827011403,0.009351634161427827,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,4,mixmodel_AR1_cal,0.7211,-0.03669478515431978,0.00950089372227878,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,4,mixmodel_cal,0.4105,-0.11299051528162801,0.01940740007706723,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,FALSE,4,sepmodel,0.7991,7.61740716908781e-4,0.008083437636276395,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,FALSE,2,fixmodel,0.8234,-2.378539059875051e-4,0.007394616224104177,0,10000
