num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,trend_mean,trend_var,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,2,fixmodel,0.825,8.2598859703891e-4,0.00755085011757849,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,2,fixmodel_cal,0.8248,-1.9936344382465236e-4,0.00743629493904953,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,2,sepmodel,0.7952,0.001360595717392535,0.00815657145992257,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,3,fixmodel,0.8322,6.0107161878385756e-5,0.0073181094484090084,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,3,fixmodel_cal,0.8311,-5.115896414364596e-4,0.007325371447717541,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,3,sepmodel,0.7963,4.824102535212884e-4,0.008062122479534388,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,4,fixmodel,0.8346,-3.912274753169569e-4,0.007173933987005135,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,4,fixmodel_cal,0.8352,-0.001625200663309282,0.00714215691525363,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,0,0.5,4,sepmodel,0.7965,-4.311787139165507e-4,0.007953129407328284,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,2,fixmodel,0.8192,-0.0016068645358978898,0.007700024695035911,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,2,fixmodel_cal,0.8182,-0.0018290321821978952,0.007709658946320186,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,2,sepmodel,0.7897,-0.0012537405643496067,0.008147438758562879,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,3,fixmodel,0.8287,-0.001288231930821093,0.007435874693976218,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,3,fixmodel_cal,0.8261,-0.001674089130112927,0.007437409579878792,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,3,sepmodel,0.7907,-0.0010219513141788595,0.00813029572310017,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,4,fixmodel,0.839,-1.7034159180052535e-4,0.007082899421091045,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,4,fixmodel_cal,0.8371,-4.6543873534291724e-4,0.007086257915832336,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,125,NA,NA,0,0.5,4,sepmodel,0.7949,1.3334719019441704e-4,0.007884977016318946,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,2,fixmodel,0.8221,-0.0019138237586356697,0.007410715253071874,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,2,fixmodel_cal,0.8231,-0.004145000340545633,0.007294389740942416,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,2,sepmodel,0.7928,-0.001854585362587459,0.007877241432856293,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,3,fixmodel,0.8318,-1.6191930477691866e-4,0.00743358764558244,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,3,fixmodel_cal,0.8276,-0.0028036086458793847,0.00736353514109152,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,3,sepmodel,0.7892,-1.4124159852299311e-4,0.008147580594125563,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,4,fixmodel,0.8353,-0.0013139329205296402,0.0070758344930800824,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,4,fixmodel_cal,0.8318,-0.0029001496049495157,0.0070551742034612305,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,150,NA,NA,0,0.5,4,sepmodel,0.793,-0.001487540628735205,0.007885216312127992,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,175,NA,NA,0,0.5,2,fixmodel,0.8186,1.1949443728994574e-4,0.007512832397563426,0,10000
